,Tamil Words
0,மேற்கில
1,இளவரசனிடமிருந்த
2,போடுவாராக்கும
3,மறைந்ததும
4,யாராகிலும
5,செய்துவிட்ட
6,வெட்டாற
7,வீத
8,மாதக்கணக்காகப
9,கொண்டிருக்க
10,பிறாண்டிக
11,துரத்திக
12,அகந்த
13,சென்றத
14,கல்வியறிவைப
15,இசையையும
16,பிடிக்காமல
17,உண்டாக்கக
18,வீணாக
19,பாடலாக
20,மட்டைகள
21,தனாதிகார
22,நன்றாகத
23,ஒன்றையொன்ற
24,ஆதிக்கத்தைத
25,என்றைக்கும
26,குலத்தினர
27,சுண்ட
28,அதுவரையில
29,சாமியாட்டம
30,பீறிட்ட
31,தாக்கப
32,அலங்காரங்களும
33,முன்குடும
34,தகதகவென்ற
35,உட்கார்ந்தபடியால
36,பொழிந்தார்கள
37,புலிக்க
38,விளங்கினாள
39,கொள்கிறாள
40,நினைத்தால
41,பகைவர்களிடம
42,மாய்மாலமும
43,போற்றச
44,சந்திக்கும்போத
45,இருப்பதில
46,குதூகலத்தையும
47,குளித்த
48,மகானைத
49,ஆற்றூரில
50,சொல்லவ
51,அரண்மனைகள
52,பிராயத்தைத
53,இரண்டில
54,நூறாண்டுக
55,காலத்துச
56,இடங்கொடாமல
57,புகழைத
58,நிகழ்ச்சிகள
59,ஊரிலேய
60,தொடங்கியதற்க
61,விடவேண்டாம
62,இழந்த
63,நட்சத்திரமாவத
64,ரத்தக
65,எனத
66,குத்திக
67,பணியாளர்கள
68,தங்கியிருக்க
69,ஏறினார்கள
70,நாக்க
71,சுமத்துவதற்க
72,உருவிக
73,தகுந்தவள
74,சமயப
75,கோவில்கள
76,தெரிந்ததைய
77,அப்படிப்பட்ட
78,பொங்கினான
79,பயந்தத
80,கைக்கொண்ட
81,விழலாம
82,தள்ளினான
83,மனிதன
84,படைத்தவருமான
85,உச்சத்துக்க
86,உமக்குத
87,திக்குமுக்காடச
88,வாழ்நாளெல்லாம
89,விரித்தவாற
90,சம்மதிப்பார
91,அம்சத்த
92,கைய
93,ஜோதிடர
94,யார
95,நிர்மாணித்திருக்கும
